,round_epochs,val_loss,val_acc,loss,acc,lr,kernel_size,num_kernel,optimizer
0,15,0.7645761724831401,0.5724637815053912,1.868397954383183,0.5865209470681154,0.1,8,64,<class 'keras.optimizers.Adadelta'>
1,13,0.646983183812404,0.615942038487697,0.8232871806469554,0.6211293273501926,1.0,6,64,<class 'keras.optimizers.Adagrad'>
2,15,0.6503534818041152,0.637681163739467,1.4065690016703094,0.5992714021158132,0.1,14,120,<class 'keras.optimizers.Adadelta'>
3,17,0.7671621381372645,0.5869565234668013,5.4531049728393555,0.6484517437729896,1.0,6,120,<class 'keras.optimizers.Adagrad'>
4,25,0.6197151489879774,0.6666666649389958,0.7995260644480179,0.6357012768912185,1.0,6,96,<class 'keras.optimizers.RMSprop'>
5,11,2.6127614767655083,0.5652173938958541,0.7420713949290347,0.6229508138093792,10.0,8,96,<class 'keras.optimizers.Adam'>
6,38,0.6820245151934416,0.6014492770899897,0.820465077033677,0.6156648498415296,0.1,14,64,<class 'keras.optimizers.RMSprop'>
7,12,0.6732172119444695,0.5869565251944722,0.836605110129372,0.6338797923862826,1.0,10,64,<class 'keras.optimizers.Adadelta'>
8,17,0.6713614360145901,0.6811594306558802,0.6459337889822454,0.6848815990058885,10.0,12,32,<class 'keras.optimizers.Adam'>
9,11,0.7169788678487142,0.5579710360886394,1.7468179614166093,0.6029143919710254,0.1,10,64,<class 'keras.optimizers.Adam'>
10,57,0.6746599389159161,0.6231884282568226,0.8519346866017048,0.6466302461311465,0.1,14,64,<class 'keras.optimizers.Adam'>
11,9,6.931472218554953,0.5652173938958541,5.250561290317112,0.648451736390265,10.0,14,64,<class 'keras.optimizers.Adadelta'>
12,9,9.110228220621744,0.4347826061041459,8.878836008151806,0.4280510083899472,10.0,14,120,<class 'keras.optimizers.Adadelta'>
13,11,0.6828580749207649,0.6159420367600261,1.399925014577494,0.577413486218409,0.1,14,96,<class 'keras.optimizers.Adadelta'>
14,22,0.6570140598476797,0.6376811680586442,0.6165927697400577,0.6794171281199638,10.0,14,32,<class 'keras.optimizers.Adam'>
15,9,6.931472218554953,0.5652173938958541,5.168733010526563,0.652094721034142,10.0,10,96,<class 'keras.optimizers.Adagrad'>
16,11,0.782359690769859,0.5724637853926506,1.8229783512855489,0.586520954667979,0.1,10,96,<class 'keras.optimizers.Adadelta'>
17,15,0.7165922643481821,0.5652173938958541,1.516423859665737,0.6120218546664129,0.1,14,32,<class 'keras.optimizers.Adagrad'>
18,17,0.7234170480050902,0.5724637758904609,1.3086506256423145,0.5974499071339223,0.1,14,64,<class 'keras.optimizers.Adadelta'>
19,19,2.7521452558213384,0.4347826061041459,10.153701961149066,0.3679417104668956,10.0,10,120,<class 'keras.optimizers.Adagrad'>
20,73,0.6299907867459283,0.7028985481331314,0.6879862463322276,0.6557377172949536,0.1,12,96,<class 'keras.optimizers.Adadelta'>
21,11,0.7021119369976763,0.5942029054614081,1.3784163910183098,0.6065573769406108,0.1,12,96,<class 'keras.optimizers.Adagrad'>
22,12,1.1139084644939587,0.5652173938958541,0.7013104845700151,0.6448087508778321,10.0,6,64,<class 'keras.optimizers.Adam'>
23,10,0.9986785011015077,0.5579710023990576,0.7965822423959256,0.6138433455769482,10.0,14,32,<class 'keras.optimizers.RMSprop'>
