,round_epochs,val_loss,val_acc,loss,acc,lr,kernel_size,num_kernel,optimizer
0,34,10.355304731838945,0.31884058834849927,3.3633232377265974,0.591985430113822,0.1,14,120,<class 'keras.optimizers.RMSprop'>
1,29,0.6117719532786936,0.7246376932531163,0.6274317011155718,0.6921675755677978,1.0,14,64,<class 'keras.optimizers.RMSprop'>
2,12,0.6191982816958773,0.688405800556791,0.7762407799453249,0.5828779715440746,10.0,8,32,<class 'keras.optimizers.RMSprop'>
3,44,0.6650738716125488,0.7101449059403461,0.821497124726655,0.686703099904816,0.1,12,120,<class 'keras.optimizers.Adadelta'>
4,11,4.7881942762844805,0.6811594306558802,5.691634864320737,0.6429872607272831,10.0,12,32,<class 'keras.optimizers.RMSprop'>
5,32,0.7135234164155048,0.6739130590272986,1.182355194578188,0.6247723229595872,0.1,6,96,<class 'keras.optimizers.RMSprop'>
6,150,0.6416025749151257,0.6956521903259166,0.8275449308541303,0.6539162120532468,0.1,10,32,<class 'keras.optimizers.Adagrad'>
7,60,0.6743552607038746,0.6086956625399382,0.8547326072317655,0.6357012758055237,0.1,12,32,<class 'keras.optimizers.Adam'>
8,9,5.08307909619981,0.6811594306558802,5.691634950307766,0.6429872634415201,0.1,10,96,<class 'keras.optimizers.RMSprop'>
9,23,10.736926548722861,0.31884058834849927,4.901623069697173,0.5792349798431813,1.0,6,120,<class 'keras.optimizers.Adadelta'>
10,41,0.8974028065584708,0.5362318814664647,1.0761080791390008,0.6320582931158972,0.1,6,96,<class 'keras.optimizers.Adagrad'>
11,9,4.986569722493489,0.6811594306558802,5.691634896457304,0.6429872572530597,10.0,6,64,<class 'keras.optimizers.Adam'>
12,9,3.9440304645593613,0.6811594306558802,5.691634998946894,0.6429872632243812,10.0,10,120,<class 'keras.optimizers.Adam'>
13,9,10.978992628014606,0.31884058834849927,10.363729905995298,0.35701275539528476,1.0,10,96,<class 'keras.optimizers.Adagrad'>
14,104,0.6280819574991862,0.6884057988291201,0.6057584875268363,0.719489980265091,0.1,8,64,<class 'keras.optimizers.Adam'>
15,15,10.953657025876252,0.31884058834849927,10.363729892098405,0.357012755558139,0.1,8,32,<class 'keras.optimizers.Adam'>
16,9,1.2788552650506946,0.6811594306558802,0.9402089290497299,0.6029143931652896,10.0,6,120,<class 'keras.optimizers.RMSprop'>
17,41,0.5966617223145305,0.7246376915254454,0.5174562746492675,0.7395264138289488,1.0,8,64,<class 'keras.optimizers.Adadelta'>
18,32,0.922043376210807,0.3623188440350519,0.6566373683064362,0.673952649091328,1.0,12,64,<class 'keras.optimizers.Adadelta'>
19,11,0.8631206837253295,0.6811594306558802,0.7221475027515154,0.6320582832360745,10.0,8,96,<class 'keras.optimizers.Adam'>
20,9,10.438454296277916,0.31884058834849927,9.830924523984148,0.37522768447742216,1.0,14,32,<class 'keras.optimizers.Adagrad'>
21,10,0.6943454776985057,0.6811594306558802,0.7749224121670472,0.6448087463179139,10.0,14,64,<class 'keras.optimizers.Adam'>
22,9,3.558535551679307,0.3333333376525105,7.090022901802549,0.5391621217810174,1.0,12,120,<class 'keras.optimizers.RMSprop'>
23,63,0.621842843034993,0.7028985481331314,0.6612131424071793,0.6939890740781968,0.1,10,96,<class 'keras.optimizers.Adadelta'>
